Time,ActiveClones,CumulativeDrivers,CumulativePassengers
9.68963,16,19,83
9.69242,16,19,83
9.72898,16,19,83
9.75256,16,19,83
9.77274,15,19,83
9.78043,14,19,83
9.78624,14,19,83
9.79886,14,19,83
9.83543,14,19,83
9.86669,14,19,83
9.86772,14,19,83
9.88294,14,19,83
9.88939,15,19,84
9.89497,15,19,84
9.90143,15,19,84
9.92581,15,19,84
9.93545,15,19,84
9.93747,15,19,84
9.95543,15,19,84
9.96204,15,19,85
9.98396,15,19,85
9.9841,14,19,85
10.0045,15,20,85
10.0068,16,20,86
10.0153,16,20,86
10.0388,16,20,86
10.0404,17,20,87
10.0561,16,20,87
10.0663,17,20,88
10.0998,17,20,88
10.1088,18,20,89
10.1154,17,20,89
10.1322,17,20,89
10.1747,17,20,89
10.1889,17,20,89
10.2088,17,20,89
10.2289,17,20,89
10.2612,17,20,89
10.2632,17,20,89
10.2906,17,20,90
10.2945,18,20,91
10.2991,18,20,91
10.3049,18,20,92
10.3289,18,20,92
10.329,18,20,92
10.3385,18,20,92
10.3394,17,20,92
10.3439,17,20,92
10.3524,17,20,92
10.3527,17,20,92
10.4027,17,20,92
10.4098,16,20,92
10.4176,16,20,92
10.4436,16,20,92
10.4439,16,20,92
10.5104,16,20,92
10.5266,16,20,92
10.5747,16,20,92
10.5803,17,20,93
10.5882,17,20,93
10.5975,17,20,93
10.5995,17,20,93
10.6246,18,21,93
10.6357,19,22,93
10.6471,19,22,93
10.6487,19,22,93
10.6708,19,22,93
10.6791,19,22,93
10.6819,19,22,94
10.6899,19,22,94
10.7056,19,22,94
10.7247,19,22,94
10.7328,20,22,95
10.7373,20,22,95
10.7416,20,22,96
10.7745,20,22,96
10.7829,20,22,96
10.7961,20,22,96
10.8105,21,23,96
10.8247,21,23,96
10.86,20,23,96
10.8789,21,23,97
10.8987,22,23,98
10.9113,21,23,98
10.9125,21,23,98
10.9302,20,23,98
10.9578,19,23,98
10.9804,19,23,98
10.9988,19,23,98
11.0009,19,23,98
11.0055,19,23,98
11.0148,19,23,98
11.017,19,23,98
11.0447,19,23,98
11.0498,19,23,98
11.1183,19,23,98
11.1425,19,23,98
11.1495,18,23,98
11.1615,18,23,98
11.1739,19,24,98
11.1745,19,24,98
11.2036,19,24,98
11.2255,19,24,98
11.2803,20,24,99
11.3202,21,24,100
11.3296,20,24,100
11.3325,19,24,100
11.3373,18,24,100
11.3494,17,24,100
11.3544,16,24,100
11.3589,16,24,100
11.364,16,24,100
11.3753,17,24,101
11.3954,16,24,101
11.3985,16,24,101
11.3988,16,24,101
11.3998,16,24,101
11.4229,16,24,101
11.451,17,25,101
11.4804,17,25,101
11.489,17,25,101
11.4937,17,25,101
11.5029,17,25,101
11.5118,17,25,101
11.5257,16,25,101
11.5277,16,25,101
11.5435,16,25,101
11.5623,16,25,101
11.6058,15,25,101
11.6225,16,26,101
11.6261,16,26,102
11.6309,16,26,102
11.6382,16,26,102
11.6525,16,26,102
11.6657,16,26,102
11.6678,15,26,102
11.684,15,26,102
11.719,15,26,102
11.7199,15,26,102
11.7324,15,26,102
11.751,15,26,102
11.7584,15,26,102
11.7769,15,26,102
11.783,15,26,102
11.7985,15,26,102
11.8049,15,26,102
11.8127,15,26,102
11.8191,15,26,102
